PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Survived,Cabin
1.0,3.0,"Braund, Mr. Owen Harris",male,22.0,1.0,0.0,7.25,S,0.0,
2.0,1.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1.0,0.0,71.2833,C,1.0,C85
3.0,3.0,"Heikkinen, Miss. Laina",female,26.0,0.0,0.0,7.925,S,1.0,
4.0,1.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1.0,0.0,53.1,S,1.0,C123
5.0,3.0,"Allen, Mr. William Henry",male,35.0,0.0,0.0,8.05,S,0.0,
6.0,3.0,"Moran, Mr. James",male,,0.0,0.0,8.4583,Q,0.0,
7.0,1.0,"McCarthy, Mr. Timothy J",male,54.0,0.0,0.0,51.8625,S,0.0,E46
8.0,3.0,"Palsson, Master. Gosta Leonard",male,2.0,3.0,1.0,21.075,S,0.0,
9.0,3.0,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0.0,2.0,11.1333,S,1.0,
10.0,2.0,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1.0,0.0,30.0708,C,1.0,
11.0,3.0,"Sandstrom, Miss. Marguerite Rut",female,4.0,1.0,1.0,16.7,S,1.0,G6
12.0,1.0,"Bonnell, Miss. Elizabeth",female,58.0,0.0,0.0,26.55,S,1.0,C103
13.0,3.0,"Saundercock, Mr. William Henry",male,20.0,0.0,0.0,8.05,S,0.0,
14.0,3.0,"Andersson, Mr. Anders Johan",male,39.0,1.0,5.0,31.275,S,0.0,
15.0,3.0,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0.0,0.0,7.8542,S,0.0,
16.0,2.0,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0.0,0.0,16.0,S,1.0,
17.0,3.0,"Rice, Master. Eugene",male,2.0,4.0,1.0,29.125,Q,0.0,
18.0,2.0,"Williams, Mr. Charles Eugene",male,,0.0,0.0,13.0,S,1.0,
19.0,3.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1.0,0.0,18.0,S,0.0,
20.0,3.0,"Masselmani, Mrs. Fatima",female,,0.0,0.0,7.225,C,1.0,
21.0,2.0,"Fynney, Mr. Joseph J",male,35.0,0.0,0.0,26.0,S,0.0,
22.0,2.0,"Beesley, Mr. Lawrence",male,34.0,0.0,0.0,13.0,S,1.0,D56
23.0,3.0,"McGowan, Miss. Anna ""Annie""",female,15.0,0.0,0.0,8.0292,Q,1.0,
24.0,1.0,"Sloper, Mr. William Thompson",male,28.0,0.0,0.0,35.5,S,1.0,A6
25.0,3.0,"Palsson, Miss. Torborg Danira",female,8.0,3.0,1.0,21.075,S,0.0,
26.0,3.0,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1.0,5.0,31.3875,S,1.0,
27.0,3.0,"Emir, Mr. Farred Chehab",male,,0.0,0.0,7.225,C,0.0,
28.0,1.0,"Fortune, Mr. Charles Alexander",male,19.0,3.0,2.0,263.0,S,0.0,C23 C25 C27
29.0,3.0,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0.0,0.0,7.8792,Q,1.0,
30.0,3.0,"Todoroff, Mr. Lalio",male,,0.0,0.0,7.8958,S,0.0,
31.0,1.0,,male,40.0,0.0,0.0,27.7208,C,0.0,
32.0,1.0,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1.0,0.0,146.5208,C,1.0,B78
33.0,3.0,"Glynn, Miss. Mary Agatha",female,,0.0,0.0,7.75,Q,1.0,
34.0,,"Wheadon, Mr. Edward H",male,66.0,0.0,0.0,10.5,S,0.0,
35.0,1.0,"Meyer, Mr. Edgar Joseph",male,28.0,1.0,0.0,82.1708,C,0.0,
36.0,1.0,"Holverson, Mr. Alexander Oskar",male,42.0,1.0,0.0,52.0,S,0.0,
37.0,3.0,"Mamee, Mr. Hanna",male,,0.0,0.0,7.2292,C,1.0,
38.0,3.0,"Cann, Mr. Ernest Charles",male,21.0,0.0,0.0,8.05,S,0.0,
39.0,3.0,"Vander Planke, Miss. Augusta Maria",female,18.0,2.0,0.0,18.0,S,0.0,
40.0,3.0,"Nicola-Yarred, Miss. Jamila",female,14.0,1.0,0.0,11.2417,C,1.0,
41.0,3.0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1.0,0.0,9.475,S,0.0,
42.0,2.0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1.0,0.0,21.0,S,0.0,
43.0,3.0,"Kraeff, Mr. Theodor",male,,0.0,0.0,7.8958,C,0.0,
44.0,2.0,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1.0,2.0,41.5792,C,1.0,
45.0,3.0,"Devaney, Miss. Margaret Delia",female,19.0,0.0,0.0,7.8792,Q,1.0,
46.0,3.0,"Rogers, Mr. William John",male,,0.0,0.0,8.05,S,0.0,
47.0,3.0,"Lennon, Mr. Denis",male,,1.0,0.0,15.5,Q,0.0,
